ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
33007528,中古マンション等,,33101,岡山県,岡山市北区,東島田町,岡山,16,３ＬＤＫ,70,,,,2003年,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2015年第1四半期,未改装,,7.342422680822207
33003313,中古マンション等,,33101,岡山県,岡山市北区,南中央町,岡山,23,３ＬＤＫ,60,,,,1988年,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2020年第2四半期,改装済み,,7.146128035678238
33026302,中古マンション等,,33202,岡山県,倉敷市,石見町,倉敷,6,１Ｋ,25,,,,1980年,ＲＣ,,住宅,,,,２種住居,60.0,200.0,2023年第1四半期,未改装,,6.301029995663981
33010007,中古マンション等,,33101,岡山県,岡山市北区,南中央町,岡山,19,１Ｋ,20,,,,1986年,ＲＣ,住宅,,,,,商業,80.0,400.0,2013年第3四半期,,,6.380211241711606
33008864,中古マンション等,,33101,岡山県,岡山市北区,柳町,岡山,16,２ＬＤＫ,60,,,,2014年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2016年第4四半期,未改装,,7.342422680822207
33024551,中古マンション等,,33104,岡山県,岡山市南区,泉田,備前西市,10,３ＬＤＫ,75,,,,2000年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2012年第4四半期,未改装,調停・競売等,7.079181246047625
33003939,中古マンション等,,33101,岡山県,岡山市北区,野田,大元,19,３ＬＤＫ,65,,,,1998年,ＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2018年第4四半期,未改装,,7.176091259055681
33025187,中古マンション等,,33104,岡山県,岡山市南区,東畦,妹尾,1,３ＬＤＫ,90,,,,2002年,ＳＲＣ,住宅,,,,,１種住居,60.0,200.0,2013年第1四半期,未改装,,7.3979400086720375
33002064,中古マンション等,,33101,岡山県,岡山市北区,富田町,岡山,9,１Ｋ,20,,,,1985年,ＲＣ,,,,,,商業,80.0,400.0,2021年第4四半期,未改装,,6.477121254719663
33007387,中古マンション等,,33101,岡山県,岡山市北区,富田町,岡山,8,１Ｋ,20,,,,,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2015年第3四半期,,,6.301029995663981
33002560,中古マンション等,,33101,岡山県,岡山市北区,野田,大元,15,３ＬＤＫ,75,,,,1988年,ＳＲＣ,住宅,住宅,,,,近隣商業,80.0,300.0,2022年第2四半期,改装済み,,7.230448921378274
33006760,中古マンション等,,33101,岡山県,岡山市北区,西古松,大元,6,２ＬＤＫ,85,,,,2001年,ＳＲＣ,住宅,,,,,近隣商業,80.0,300.0,2011年第4四半期,未改装,,7.431363764158987
