ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
8018081,中古マンション等,,8203,茨城県,土浦市,中村南,荒川沖,16,３ＬＤＫ,70,,,,1992年,ＲＣ,住宅,その他,,,,２低住専,60.0,150.0,2023年第3四半期,未改装,,6.3979400086720375
8058306,中古マンション等,,8220,茨城県,つくば市,二の宮,つくば,30分～60分,３ＬＤＫ,85,,,,1993年,ＳＲＣ,住宅,住宅,,,,近隣商業,80.0,200.0,2021年第1四半期,未改装,,7.146128035678238
8079180,中古マンション等,,8224,茨城県,守谷市,中央,守谷,2,３ＬＤＫ,70,,,,,ＲＣ,住宅,住宅,,,,商業,80.0,500.0,2016年第3四半期,未改装,,7.556302500767287
8021027,中古マンション等,,8203,茨城県,土浦市,中央,土浦,2H～,３ＬＤＫ,65,,,,1993年,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2015年第3四半期,改装済み,,7.3979400086720375
8047875,中古マンション等,,8217,茨城県,取手市,白山,取手,13,３ＬＤＫ,75,,,,1992年,ＳＲＣ,住宅,住宅,,,,２種住居,60.0,200.0,2023年第2四半期,未改装,,7.113943352306837
8066771,中古マンション等,,8220,茨城県,つくば市,松代,つくば,,３ＬＤＫ,70,,,,2007年,ＲＣ,住宅,,,,,,,,2009年第1四半期,未改装,,7.3222192947339195
8035246,中古マンション等,,8208,茨城県,龍ケ崎市,久保台,佐貫,30分～60分,３ＬＤＫ,75,,,,1995年,ＲＣ,住宅,,,,,１中住専,50.0,150.0,2012年第3四半期,未改装,,6.8061799739838875
8022951,中古マンション等,,8203,茨城県,土浦市,川口,土浦,11,３ＬＤＫ,65,,,,2006年,ＲＣ,住宅,,,,,２種住居,60.0,200.0,2009年第2四半期,未改装,,7.176091259055681
8001864,中古マンション等,,8201,茨城県,水戸市,梅香,水戸,15,３ＬＤＫ,70,,,,2008年,ＲＣ,,住宅,,,,２種住居,60.0,200.0,2020年第1四半期,未改装,,7.278753600952829
8051967,中古マンション等,,8219,茨城県,牛久市,田宮,牛久,3,３ＬＤＫ,70,,,,,,,住宅,,,,商業,80.0,400.0,2022年第2四半期,未改装,,7.176091259055681
