ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
31009819,中古マンション等,,31202,鳥取県,米子市,錦町,後藤,3,３ＬＤＫ,70,,,,1984年,ＳＲＣ,,住宅,,,,近隣商業,80.0,300.0,2022年第3四半期,未改装,,6.778151250383644
31004194,中古マンション等,,31201,鳥取県,鳥取市,湖山町西,鳥取大学前,5,１Ｋ,15,,,,1991年,ＳＲＣ,住宅,,,,,近隣商業,80.0,200.0,2010年第4四半期,未改装,調停・競売等,6.556302500767287
31006791,中古マンション等,,31201,鳥取県,鳥取市,吉方,鳥取,14,３ＬＤＫ,80,,,,1996年,ＲＣ,住宅,住宅,,,,準工業,60.0,200.0,2016年第4四半期,未改装,,7.176091259055681
31006693,中古マンション等,,31201,鳥取県,鳥取市,宮長,鳥取,29,３ＬＤＫ,65,,,,2006年,ＲＣ,住宅,,,,,準工業,60.0,200.0,2012年第3四半期,未改装,,7.113943352306837
31011819,中古マンション等,,31202,鳥取県,米子市,皆生温泉,米子,1H～1H30,１Ｋ,25,,,,1978年,ＳＲＣ,住宅,その他,,,,１種住居,60.0,200.0,2017年第2四半期,未改装,調停・競売等,5.913813852383717
31011851,中古マンション等,,31202,鳥取県,米子市,上福原,米子,30分～60分,３ＬＤＫ,65,,,,1994年,ＳＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2017年第2四半期,未改装,,6.954242509439325
31010093,中古マンション等,,31202,鳥取県,米子市,東福原,米子,30分～60分,３ＬＤＫ,70,,,,,,,住宅,,,,１中住専,60.0,200.0,2021年第2四半期,,,7.431363764158987
31001072,中古マンション等,,31201,鳥取県,鳥取市,栄町,鳥取,6,３ＬＤＫ,70,,,,,,,住宅,,,,商業,80.0,400.0,2019年第4四半期,未改装,,7.278753600952829
31010047,中古マンション等,,31202,鳥取県,米子市,東町,米子,8,,90,,,,1992年,ＳＲＣ,住宅,住宅,,,,商業,80.0,500.0,2023年第3四半期,未改装,,7.0
31002259,中古マンション等,,31201,鳥取県,鳥取市,元町,鳥取,10,,80,,,,2007年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2023年第3四半期,未改装,,7.342422680822207
