ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
9066337,中古マンション等,,9213,栃木県,那須塩原市,塩原,西那須野,2H～,２ＤＫ,60,,,,1992年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2011年第4四半期,改装済み,,6.6020599913279625
9019929,中古マンション等,,9201,栃木県,宇都宮市,東宿郷,宇都宮,10,３ＬＤＫ,80,,,,,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2013年第2四半期,改装済み,調停・競売等,7.204119982655925
9012636,中古マンション等,,9201,栃木県,宇都宮市,馬場通り,宇都宮,7,４ＬＤＫ,85,,,,2010年,ＲＣ,住宅,住宅,,,,商業,80.0,600.0,2014年第2四半期,改装済み,,7.623249290397901
9051585,中古マンション等,,9208,栃木県,小山市,三峯,小山,11,３ＬＤＫ,60,,,,1995年,ＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2015年第1四半期,改装済み,,6.986771734266245
9005323,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,18,３ＬＤＫ,75,,,,1997年,ＲＣ,,住宅,,,,２中住専,60.0,200.0,2019年第2四半期,改装済み,,7.230448921378274
9005114,中古マンション等,,9201,栃木県,宇都宮市,宮みらい,宇都宮,8,２ＬＤＫ,60,,,,2016年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2019年第4四半期,未改装,,7.414973347970818
9011388,中古マンション等,,9201,栃木県,宇都宮市,桜,東武宇都宮,21,３ＬＤＫ,80,,,,2013年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2015年第4四半期,,,7.414973347970818
9007266,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,12,３ＬＤＫ,60,,,,2012年,ＲＣ,住宅,,,,,商業,80.0,400.0,2018年第4四半期,未改装,,7.342422680822207
9016698,中古マンション等,,9201,栃木県,宇都宮市,戸祭,東武宇都宮,26,３ＬＤＫ,75,,,,1992年,ＳＲＣ,住宅,,,,,１種住居,60.0,200.0,2008年第3四半期,未改装,,7.113943352306837
9005275,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,4,１Ｋ,25,,,,1985年,ＳＲＣ,住宅,その他,,,,商業,80.0,400.0,2022年第3四半期,未改装,,6.447158031342219
