ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
37008786,中古マンション等,,37201,香川県,高松市,高松町,古高松,1,４ＬＤＫ,110,,,,1990年,ＳＲＣ,住宅,,,,,１種住居,60.0,200.0,2010年第2四半期,未改装,,7.230448921378274
37010216,中古マンション等,,37201,香川県,高松市,屋島西町,潟元,30分～60分,４ＬＤＫ,105,,,,1992年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2011年第1四半期,未改装,,6.681241237375588
37021014,中古マンション等,,37202,香川県,丸亀市,大手町,丸亀,7,２ＤＫ,65,,,,2007年,ＲＣ,住宅,,,,,商業,80.0,400.0,2008年第4四半期,未改装,,7.278753600952829
37004282,中古マンション等,,37201,香川県,高松市,松縄町,伏石,21,４ＬＤＫ,80,,,,2005年,ＲＣ,住宅,住宅,,,,２中住専,60.0,200.0,2023年第3四半期,未改装,,7.361727836017593
37009224,中古マンション等,,37201,香川県,高松市,屋島西町,潟元,20,４ＬＤＫ,100,,,,1998年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2010年第1四半期,改装済み,,7.146128035678238
37007778,中古マンション等,,37201,香川県,高松市,仏生山町,仏生山,5,４ＬＤＫ,80,,,,1995年,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2014年第2四半期,未改装,,7.041392685158225
37021187,中古マンション等,,37202,香川県,丸亀市,土器町東,丸亀,29,３ＬＤＫ,90,,,,1992年,ＲＣ,住宅,,,,,２中住専,60.0,200.0,2007年第4四半期,改装済み,,6.929418925714293
37010052,中古マンション等,,37201,香川県,高松市,松島町,沖松島,6,３ＬＤＫ,65,,,,1998年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2011年第1四半期,改装済み,,7.0
37013055,中古マンション等,,37201,香川県,高松市,多肥上町,太田(高松),18,３ＬＤＫ,70,,,,2008年,ＲＣ,住宅,,,,,非線引き,60.0,100.0,2012年第1四半期,未改装,,7.278753600952829
37013456,中古マンション等,,37201,香川県,高松市,屋島西町,潟元,9,３ＬＤＫ,75,,,,2002年,ＳＲＣ,住宅,,,,,準工業,60.0,200.0,2012年第4四半期,未改装,,7.113943352306837
37006235,中古マンション等,,37201,香川県,高松市,栗林町,栗林公園,7,１ＤＫ,30,,,,1989年,ＲＣ,住宅,住宅,,,,近隣商業,80.0,300.0,2018年第4四半期,未改装,,6.3979400086720375
37002191,中古マンション等,,37201,香川県,高松市,三条町,三条(高松),12,４ＬＤＫ,85,,,,1996年,ＳＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2019年第2四半期,未改装,,7.176091259055681
37008127,中古マンション等,,37201,香川県,高松市,屋島西町,春日川,30分～60分,３ＬＤＫ,75,,,,1995年,ＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2014年第4四半期,未改装,,6.886490725172482
37013638,中古マンション等,,37201,香川県,高松市,太田上町,仏生山,13,３ＬＤＫ,75,,,,1991年,ＳＲＣ,住宅,,,,,２種住居,60.0,200.0,2013年第1四半期,未改装,調停・競売等,6.643452676486188
37018428,中古マンション等,,37202,香川県,丸亀市,塩屋町,丸亀,18,３ＤＫ,45,,,,,,,住宅,,,,１種住居,60.0,200.0,2018年第4四半期,未改装,,6.690196080028514
