ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
44006982,中古マンション等,,44201,大分県,大分市,大字佐野,坂ノ市,30分～60分,オープンフロア,95,,,,1991年,ＲＣ,店舗,店舗,,,,工業,60.0,200.0,2014年第4四半期,未改装,,6.477121254719663
44021292,中古マンション等,,44202,大分県,別府市,石垣東,別府(大分),30分～60分,３ＬＤＫ,70,,,,1991年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2008年第3四半期,未改装,調停・競売等,6.8750612633917
44018582,中古マンション等,,44202,大分県,別府市,大字北石垣,別府大学,11,４ＬＤＫ,80,,,,,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2018年第1四半期,未改装,,7.0
44018128,中古マンション等,,44202,大分県,別府市,野口中町,別府(大分),5,４ＬＤＫ,85,,,,1999年,ＳＲＣ,住宅,住宅,,,,商業,80.0,500.0,2020年第4四半期,未改装,,7.361727836017593
44013993,中古マンション等,,44201,大分県,大分市,金池南,大分,7,１ＬＤＫ,60,,,,,ＲＣ,住宅,,,,,近隣商業,80.0,300.0,2013年第2四半期,未改装,,6.8061799739838875
44011503,中古マンション等,,44201,大分県,大分市,明野北,高城,30分～60分,３ＬＤＫ,85,,,,,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2016年第3四半期,未改装,,7.041392685158225
44011365,中古マンション等,,44201,大分県,大分市,大字荏隈,南大分,15,３ＬＤＫ,65,,,,1994年,ＳＲＣ,住宅,,,,,１種住居,60.0,200.0,2012年第2四半期,未改装,,6.929418925714293
44006958,中古マンション等,,44201,大分県,大分市,大津町,大分,30分～60分,４ＬＤＫ,105,,,,1999年,ＳＲＣ,住宅,,,,,１種住居,60.0,200.0,2010年第1四半期,未改装,,7.176091259055681
44003922,中古マンション等,,44201,大分県,大分市,東春日町,大分,16,２ＤＫ,55,,,,,,,住宅,,,,商業,80.0,400.0,2021年第4四半期,,,6.949390006644912
44012689,中古マンション等,,44201,大分県,大分市,角子南,大在,13,１Ｋ,30,,,,1992年,ＲＣ,住宅,,,,,準住居,60.0,200.0,2012年第4四半期,未改装,,6.230448921378274
44011861,中古マンション等,,44201,大分県,大分市,大手町,大分,16,２ＤＫ,40,,,,1984年,ＲＣ,住宅,住宅,,,,商業,80.0,500.0,2016年第4四半期,未改装,,6.724275869600789
44021318,中古マンション等,,44202,大分県,別府市,石垣東,別府大学,19,１Ｋ,15,,,,,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2008年第1四半期,未改装,,6.505149978319906
44003415,中古マンション等,,44201,大分県,大分市,西新地,牧(大分),30分～60分,３ＬＤＫ,80,,,,1985年,ＳＲＣ,住宅,住宅,,,,準工業,60.0,200.0,2019年第2四半期,未改装,,7.204119982655925
44003208,中古マンション等,,44201,大分県,大分市,長浜町,大分,19,３ＬＤＫ,70,,,,1980年,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2021年第3四半期,改装済み,調停・競売等,6.8750612633917
44000276,中古マンション等,,44201,大分県,大分市,大字市,豊後国分,30分～60分,３ＬＤＫ,75,,,,,ＲＣ,,住宅,,,,２種住居,60.0,200.0,2019年第3四半期,改装済み,,7.301029995663981
44014384,中古マンション等,,44201,大分県,大分市,中央町,大分,8,３ＬＤＫ,75,,,,2005年,ＳＲＣ,住宅,,,,,商業,80.0,500.0,2013年第3四半期,未改装,,7.2552725051033065
44017165,中古マンション等,,44202,大分県,別府市,石垣東,別府(大分),30分～60分,３ＬＤＫ,60,,,,1993年,ＳＲＣ,住宅,住宅,,,,商業,80.0,400.0,2019年第3四半期,改装済み,,7.079181246047625
44007658,中古マンション等,,44201,大分県,大分市,明野北,高城,30分～60分,,85,,,,,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2017年第3四半期,,,7.176091259055681
44005457,中古マンション等,,44201,大分県,大分市,明野西,高城,30分～60分,２ＬＤＫ,65,,,,2005年,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2018年第4四半期,未改装,,7.113943352306837
44021023,中古マンション等,,44202,大分県,別府市,青山町,別府(大分),15,４ＬＤＫ,90,,,,2008年,ＲＣ,住宅,,,,,近隣商業,80.0,300.0,2009年第3四半期,未改装,,7.342422680822207
44015155,中古マンション等,,44201,大分県,大分市,新町,大分,13,４ＬＤＫ,85,,,,2008年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2009年第4四半期,未改装,,7.3222192947339195
44013031,中古マンション等,,44201,大分県,大分市,原新町,高城,7,１ＤＫ,20,,,,1990年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2012年第1四半期,未改装,,6.477121254719663
44002130,中古マンション等,,44201,大分県,大分市,城崎町,大分,20,３ＬＤＫ,70,,,,,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2022年第1四半期,未改装,,7.414973347970818
44004748,中古マンション等,,44201,大分県,大分市,大字皆春,鶴崎,19,３ＬＤＫ,65,,,,,ＳＲＣ,住宅,住宅,,,,準工業,60.0,200.0,2022年第1四半期,,,6.763427993562937
44006971,中古マンション等,,44201,大分県,大分市,大字佐野,大在,30分～60分,１Ｋ,20,,,,1991年,ＲＣ,住宅,住宅,,,,工業,60.0,200.0,2014年第4四半期,未改装,,6.146128035678238
