ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
29004580,中古マンション等,,29201,奈良県,奈良市,西大寺北町,大和西大寺,6,２ＬＤＫ,50,,,,1995年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2018年第1四半期,改装済み,,7.041392685158225
29013881,中古マンション等,,29202,奈良県,大和高田市,三和町,高田(奈良),4,３ＬＤＫ,55,,,,1995年,ＲＣ,住宅,住宅,,,,近隣商業,80.0,200.0,2021年第3四半期,改装済み,,7.113943352306837
29008345,中古マンション等,,29201,奈良県,奈良市,大渕町,学園前(奈良),24,３ＬＤＫ,70,,,,1987年,ＲＣ,住宅,住宅,,,,調整区域,60.0,200.0,2015年第3四半期,未改装,,6.857332496431268
29016254,中古マンション等,,29203,奈良県,大和郡山市,城南町,近鉄郡山,6,２ＬＤＫ,60,,,,1994年,ＲＣ,住宅,その他,,,,１種住居,60.0,200.0,2022年第3四半期,改装済み,,6.919078092376074
29031706,中古マンション等,,29209,奈良県,生駒市,萩の台,萩の台,6,４ＬＤＫ,90,,,,1987年,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2015年第1四半期,改装済み,,6.991226075692495
29017117,中古マンション等,,29203,奈良県,大和郡山市,柳町,郡山(奈良),7,３ＬＤＫ,65,,,,2005年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2014年第2四半期,,,6.785329835010767
29005864,中古マンション等,,29201,奈良県,奈良市,あやめ池南,菖蒲池,3,４ＬＤＫ,80,,,,1982年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2010年第3四半期,未改装,,7.041392685158225
29032251,中古マンション等,,29209,奈良県,生駒市,西松ケ丘,生駒,13,３ＬＤＫ,65,,,,1998年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2012年第1四半期,未改装,,7.146128035678238
29014236,中古マンション等,,29202,奈良県,大和高田市,本郷町,高田(奈良),5,２ＬＤＫ,55,,,,2021年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2021年第2四半期,未改装,,7.477121254719663
29022758,中古マンション等,,29205,奈良県,橿原市,法花寺町,耳成,8,３ＬＤＫ,65,,,,1991年,ＲＣ,住宅,住宅,,,,準工業,60.0,200.0,2017年第4四半期,改装済み,,6.799340549453582
29012022,中古マンション等,,29201,奈良県,奈良市,富雄北,富雄,7,３ＬＤＫ,70,,,,1996年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2009年第2四半期,改装済み,,7.079181246047625
29002985,中古マンション等,,29201,奈良県,奈良市,中登美ヶ丘,学研奈良登美ケ丘,19,２ＤＫ,45,,,,1968年,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2019年第2四半期,改装済み,,6.414973347970818
29010485,中古マンション等,,29201,奈良県,奈良市,藤ノ木台,学園前(奈良),22,３ＬＤＫ,75,,,,1997年,ＲＣ,住宅,,,,,１中住専,60.0,200.0,2012年第1四半期,改装済み,,7.113943352306837
29031940,中古マンション等,,29209,奈良県,生駒市,小瀬町,南生駒,6,４ＬＤＫ,85,,,,1990年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2012年第1四半期,改装済み,,6.698970004336019
29009643,中古マンション等,,29201,奈良県,奈良市,三条大宮町,奈良,6,３ＬＤＫ,55,,,,1986年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2016年第1四半期,未改装,,6.929418925714293
29007689,中古マンション等,,29201,奈良県,奈良市,学園中,学園前(奈良),13,３ＬＤＫ,70,,,,1996年,ＲＣ,住宅,,,,,１中住専,60.0,200.0,2011年第2四半期,未改装,,7.113943352306837
29009154,中古マンション等,,29201,奈良県,奈良市,あやめ池南,菖蒲池,3,２ＬＤＫ,75,,,,1981年,ＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2016年第1四半期,改装済み,,7.113943352306837
29033713,中古マンション等,,29210,奈良県,香芝市,磯壁,近鉄下田,6,２ＬＤＫ,60,,,,2008年,ＳＲＣ,,住宅,,,,,,,2020年第3四半期,,,7.146128035678238
