ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
21016869,中古マンション等,,21201,岐阜県,岐阜市,鏡島南,西岐阜,25,３ＬＤＫ,75,,,,1998年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2007年第3四半期,改装済み,,7.204119982655925
21015252,中古マンション等,,21201,岐阜県,岐阜市,柳津町蓮池,柳津(岐阜),14,３ＬＤＫ,75,,,,1999年,ＲＣ,住宅,,,,,準工業,60.0,200.0,2013年第3四半期,未改装,,7.079181246047625
21021338,中古マンション等,,21202,岐阜県,大垣市,見取町,大垣,4,３ＬＤＫ,70,,,,1998年,ＳＲＣ,,住宅,,,,商業,80.0,500.0,2023年第1四半期,未改装,,7.230448921378274
21015700,中古マンション等,,21201,岐阜県,岐阜市,米屋町,岐阜,30分～60分,４ＬＤＫ,80,,,,2009年,ＲＣ,住宅,,,,,商業,80.0,400.0,2009年第4四半期,,,7.477121254719663
21035797,中古マンション等,,21204,岐阜県,多治見市,豊岡町,多治見,8,４ＤＫ,65,,,,1982年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2013年第3四半期,未改装,,6.812913356642856
21011340,中古マンション等,,21201,岐阜県,岐阜市,五坪,岐阜,19,４ＬＤＫ,100,,,,1986年,ＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2015年第3四半期,改装済み,,7.146128035678238
21002896,中古マンション等,,21201,岐阜県,岐阜市,鷹見町,岐阜,21,４ＬＤＫ,105,,,,2008年,,住宅,住宅,,,,商業,80.0,500.0,2020年第4四半期,,,7.477121254719663
21002677,中古マンション等,,21201,岐阜県,岐阜市,住ノ江町,岐阜,7,４ＬＤＫ,100,,,,2006年,ＲＣ,,住宅,,,,商業,80.0,400.0,2023年第1四半期,未改装,,7.672097857935717
21015073,中古マンション等,,21201,岐阜県,岐阜市,福住町,岐阜,10,４ＬＤＫ,110,,,,2001年,ＳＲＣ,住宅,,,,,商業,80.0,400.0,2013年第1四半期,改装済み,,7.477121254719663
21014562,中古マンション等,,21201,岐阜県,岐阜市,北山,岐阜,2H～,２ＬＤＫ,65,,,,1990年,ＳＲＣ,住宅,,,,,１中住専,50.0,100.0,2013年第4四半期,改装済み,,6.740362689494244
21022051,中古マンション等,,21202,岐阜県,大垣市,三塚町,大垣,18,４ＬＤＫ,80,,,,1999年,ＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2018年第4四半期,改装済み,,7.2552725051033065
21034806,中古マンション等,,21204,岐阜県,多治見市,太平町,多治見,16,３ＬＤＫ,85,,,,1998年,ＳＲＣ,住宅,,,,,準工業,60.0,200.0,2011年第2四半期,未改装,,7.230448921378274
21021307,中古マンション等,,21202,岐阜県,大垣市,三津屋町,大垣,30分～60分,３ＬＤＫ,55,,,,1991年,ＳＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2022年第3四半期,未改装,,6.812913356642856
21015358,中古マンション等,,21201,岐阜県,岐阜市,茜部中島,岐阜,30分～60分,３ＬＤＫ,70,,,,1998年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2009年第2四半期,未改装,,7.041392685158225
21020914,中古マンション等,,21202,岐阜県,大垣市,西外側町,大垣,15,４ＬＤＫ,95,,,,2004年,ＲＣ,,住宅,,,,商業,80.0,500.0,2020年第1四半期,未改装,,7.3979400086720375
21060755,中古マンション等,,21213,岐阜県,各務原市,蘇原月丘町,蘇原,4,３ＬＤＫ,55,,,,1975年,ＲＣ,住宅,住宅,,,,２種住居,60.0,200.0,2023年第2四半期,未改装,,5.845098040014257
21007452,中古マンション等,,21201,岐阜県,岐阜市,大黒町,岐阜,23,４ＬＤＫ,80,,,,,ＲＣ,住宅,住宅,,,,準工業,60.0,200.0,2017年第1四半期,改装済み,,7.146128035678238
21018872,中古マンション等,,21201,岐阜県,岐阜市,福住町,岐阜,9,３ＬＤＫ,70,,,,2000年,ＳＲＣ,住宅,,,,,商業,80.0,500.0,2007年第2四半期,未改装,,7.204119982655925
21015531,中古マンション等,,21201,岐阜県,岐阜市,神楽町,岐阜,29,４ＬＤＫ,75,,,,1997年,ＲＣ,住宅,,,,,準工業,60.0,200.0,2009年第3四半期,未改装,,7.113943352306837
21024554,中古マンション等,,21202,岐阜県,大垣市,林町,大垣,10,４ＬＤＫ,80,,,,2000年,ＳＲＣ,住宅,住宅,,,,１種住居,60.0,200.0,2016年第2四半期,未改装,,7.230448921378274
21008459,中古マンション等,,21201,岐阜県,岐阜市,加納寿町,岐阜,15,４ＬＤＫ,80,,,,2010年,ＲＣ,住宅,,,,,準工業,60.0,200.0,2010年第1四半期,未改装,,7.447158031342219
21011404,中古マンション等,,21201,岐阜県,岐阜市,鷺山東,岐阜,1H～1H30,２ＤＫ,40,,,,1981年,ＲＣ,住宅,,,,,２中住専,60.0,200.0,2015年第3四半期,未改装,,6.301029995663981
21011158,中古マンション等,,21201,岐阜県,岐阜市,加納水野町,岐阜,9,１Ｋ,15,,,,2010年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2015年第4四半期,未改装,,6.447158031342219
21000138,中古マンション等,,21201,岐阜県,岐阜市,茜部菱野,岐阜,30分～60分,３ＬＤＫ,75,,,,1997年,ＳＲＣ,住宅,住宅,,,,２種住居,60.0,200.0,2022年第4四半期,改装済み,,7.2552725051033065
