ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
47005112,中古マンション等,,47201,沖縄県,那覇市,赤嶺,赤嶺,5,３ＬＤＫ,65,,,,1993年,ＲＣ,住宅,,,,,１種住居,60.0,200.0,2007年第4四半期,未改装,,7.146128035678238
47004119,中古マンション等,,47201,沖縄県,那覇市,おもろまち,おもろまち,13,２ＬＤＫ,80,,,,2007年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2016年第1四半期,改装済み,,7.643452676486188
47002850,中古マンション等,,47201,沖縄県,那覇市,字天久,美栄橋,25,４ＬＤＫ,75,,,,2010年,ＲＣ,住宅,住宅,,,,近隣商業,80.0,300.0,2017年第2四半期,未改装,,7.4623979978989565
47018312,中古マンション等,,47211,沖縄県,沖縄市,胡屋,,,２ＬＤＫ,65,,,,1987年,ＲＣ,店舗,その他,,,,商業,80.0,400.0,2015年第3四半期,未改装,,6.832508912706237
47017063,中古マンション等,,47211,沖縄県,沖縄市,比屋根,,,２ＬＤＫ,55,,,,2002年,ＲＣ,,住宅,,,,近隣商業,80.0,300.0,2020年第1四半期,未改装,,7.204119982655925
47010269,中古マンション等,,47208,沖縄県,浦添市,港川,,,２ＬＤＫ,65,,,,1997年,ＳＲＣ,,,,,,１中住専,60.0,200.0,2020年第4四半期,未改装,,7.204119982655925
47001959,中古マンション等,,47201,沖縄県,那覇市,久米,旭橋,10,３ＬＤＫ,65,,,,1999年,ＲＣ,住宅,,,,,商業,80.0,400.0,2010年第2四半期,未改装,調停・競売等,7.113943352306837
47003535,中古マンション等,,47201,沖縄県,那覇市,壺川,壺川,5,２ＬＤＫ,85,,,,2002年,ＲＣ,住宅,住宅,,,,２種住居,60.0,200.0,2015年第4四半期,,,7.447158031342219
47004004,中古マンション等,,47201,沖縄県,那覇市,港町,,,４ＬＤＫ,65,,,,1987年,ＲＣ,住宅,,,,,商業,80.0,400.0,2012年第2四半期,未改装,,6.929418925714293
47002311,中古マンション等,,47201,沖縄県,那覇市,おもろまち,おもろまち,13,２ＬＤＫ,80,,,,2007年,ＲＣ,住宅,住宅,,,,商業,80.0,400.0,2014年第2四半期,未改装,,7.491361693834273
47010991,中古マンション等,,47208,沖縄県,浦添市,西原,,,３ＬＤＫ,65,,,,2000年,ＲＣ,住宅,住宅,,,,２種住居,60.0,200.0,2015年第3四半期,未改装,,7.278753600952829
47017292,中古マンション等,,47211,沖縄県,沖縄市,与儀,,,２ＬＤＫ,55,,,,2017年,ＲＣ,住宅,住宅,,,,１中住専,60.0,200.0,2023年第2四半期,未改装,,7.380211241711606
47002903,中古マンション等,,47201,沖縄県,那覇市,おもろまち,おもろまち,6,３ＬＤＫ,85,,,,2013年,ＲＣ,住宅,その他,,,,近隣商業,80.0,400.0,2017年第2四半期,改装済み,,7.698970004336019
47004530,中古マンション等,,47201,沖縄県,那覇市,古波蔵,壺川,12,２ＬＤＫ,55,,,,,ＲＣ,住宅,,,,,近隣商業,80.0,300.0,2013年第4四半期,未改装,,6.832508912706237
47005054,中古マンション等,,47201,沖縄県,那覇市,牧志,牧志,,２ＬＤＫ,80,,,,2010年,ＲＣ,住宅,,,,,商業,80.0,400.0,2009年第4四半期,,,7.6020599913279625
47016652,中古マンション等,,47211,沖縄県,沖縄市,大里,,,２ＬＤＫ,35,,,,1991年,ＲＣ,,住宅,,,,１低住専,50.0,100.0,2020年第3四半期,,,7.230448921378274
47010802,中古マンション等,,47208,沖縄県,浦添市,伊祖,,,２ＤＫ,50,,,,1989年,ＲＣ,,住宅,,,,１中住専,60.0,200.0,2017年第4四半期,未改装,,6.301029995663981
